batch,d_loss,g_loss,d_real,d_fake,wasserstein_distance
15461,-0.280678927898407,2.933234691619873,-2.456099510192871,-2.9679925441741943,0.5118930339813232
15466,-0.2856656312942505,1.8409850597381592,-1.4965357780456543,-2.053225040435791,0.5566892623901367
15471,-0.4415333867073059,2.9837028980255127,-1.9814621210098267,-2.698469400405884,0.7170072793960571
15476,-0.6655077934265137,2.4984793663024902,-2.0013656616210938,-2.9316811561584473,0.9303154945373535
15481,-0.11560225486755371,2.556821346282959,-2.060681104660034,-2.4229178428649902,0.36223673820495605
15486,-0.6036890149116516,1.6817715167999268,-1.4896252155303955,-2.321453094482422,0.8318278789520264
15491,-0.9245040416717529,2.2406444549560547,-1.416379690170288,-2.602156639099121,1.185776948928833
15496,-0.4834858775138855,1.557363510131836,-1.219246745109558,-1.8878207206726074,0.6685739755630493
15501,-0.11941732466220856,1.0981773138046265,-0.17250001430511475,-0.5312057733535767,0.3587057590484619
15506,-0.11297813057899475,1.3852139711380005,-0.6317349672317505,-1.0194213390350342,0.3876863718032837
15511,-0.03246137499809265,2.893089771270752,-2.560994863510132,-2.8295257091522217,0.26853084564208984
15516,0.14197668433189392,1.8618582487106323,-2.0277273654937744,-2.0891060829162598,0.06137871742248535
15521,-0.35325586795806885,2.1613941192626953,-1.3790699243545532,-1.939161777496338,0.5600918531417847
15526,-0.6115320920944214,0.821061909198761,-0.3483944237232208,-1.1309058666229248,0.782511442899704
15531,-0.5301918983459473,0.9834556579589844,-0.2582213282585144,-0.9393762946128845,0.6811549663543701
15536,-0.2788443863391876,1.3865666389465332,-0.9024747610092163,-1.388740062713623,0.48626530170440674
15541,-0.6867462396621704,1.610487461090088,-1.0296707153320312,-1.9253205060958862,0.895649790763855
15546,-0.27689608931541443,1.617908239364624,-1.5944132804870605,-2.0915307998657227,0.4971175193786621
15551,-0.27898886799812317,0.09662720561027527,-0.242763951420784,-0.7394412755966187,0.49667732417583466
15556,-0.779945969581604,0.6719585657119751,0.5918956398963928,-0.3571162223815918,0.9490118622779846
15561,0.11250890791416168,0.6451376676559448,-0.3831495940685272,-0.4740464687347412,0.09089687466621399
